iter	Passed	Remaining
0	2	269
1	4	215
2	6	203
3	7	173
4	9	175
5	11	177
6	12	166
7	13	160
8	16	163
9	17	161
10	19	157
11	20	152
12	22	149
13	24	149
14	26	149
15	29	153
16	31	152
17	33	152
18	36	155
19	44	179
20	46	176
21	48	172
22	51	171
23	52	167
24	54	162
25	55	157
26	56	152
27	57	148
28	60	147
29	62	145
30	63	142
31	65	139
32	66	135
33	67	131
34	69	128
35	70	124
36	71	121
37	72	117
38	73	115
39	74	112
40	77	111
41	78	108
42	79	105
43	80	103
44	81	100
45	83	97
46	84	95
47	85	92
48	86	90
49	88	88
50	91	87
51	92	85
52	93	83
53	94	80
54	95	78
55	96	75
56	97	73
57	98	71
58	99	69
59	100	67
60	103	66
61	105	64
62	106	62
63	107	60
64	108	58
65	109	56
66	110	54
67	111	52
68	113	50
69	114	49
70	116	47
71	117	45
72	119	44
73	120	42
74	121	40
75	122	38
76	123	36
77	125	35
78	126	33
79	128	32
80	129	30
81	130	28
82	132	27
83	133	25
84	134	23
85	135	22
86	136	20
87	138	18
88	139	17
89	141	15
90	143	14
91	144	12
92	145	10
93	146	9
94	147	7
95	149	6
96	150	4
97	151	3
98	153	1
99	155	0
